dateData;groupe;editeur;progiciel;nbPsFacturation
202105;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;MYEASYOPTIC + WEB INTELLIO;1
202105;total;total;total;1450
202105;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;1
202105;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;835
202105;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;4
202105;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;2
202106;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;653
202106;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;MYEASYOPTIC + WEB INTELLIO;1
202106;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WINOPTICS + WEB INTELLIO;1
202106;total;total;total;1575
202106;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;911
202106;__NO_GROUP__IDM;IDM;IDM SOFTWARE;4
202106;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;3
202106;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;2
202107;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;657
202107;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;MYEASYOPTIC + WEB INTELLIO;1
202107;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WINOPTICS + WEB INTELLIO;1
202107;total;total;total;1631
202107;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;943
202107;__NO_GROUP__IDM;IDM;IDM SOFTWARE;23
202107;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;4
202107;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;2
202108;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;640
202108;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;MYEASYOPTIC + WEB INTELLIO;1
202108;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WINOPTICS + WEB INTELLIO;1
202108;total;total;total;1615
202108;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;910
202108;__NO_GROUP__IDM;IDM;IDM SOFTWARE;60
202108;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;1
